group,daily_minutes
latam_benchmark,115.27
latam_benchmark,114.93
latam_benchmark,115.66
latam_benchmark,125.42
latam_benchmark,115.47
latam_benchmark,99.03
latam_benchmark,120.99
latam_benchmark,113.79
latam_benchmark,114.4
latam_benchmark,118.39
latam_benchmark,119.79
latam_benchmark,130.96
latam_benchmark,124.88
latam_benchmark,118.33
latam_benchmark,108.14
latam_benchmark,104.82
latam_benchmark,119.96
latam_benchmark,132.73
latam_benchmark,117.5
latam_benchmark,115.72
latam_benchmark,123.38
latam_benchmark,99.56
latam_benchmark,113.25
latam_benchmark,122.88
latam_benchmark,127.48
latam_benchmark,114.11
latam_benchmark,121.52
latam_benchmark,119.98
latam_benchmark,126.39
latam_benchmark,103.64
bogota_students,142
bogota_students,155
bogota_students,138
bogota_students,160
bogota_students,148
bogota_students,175
bogota_students,162
bogota_students,150
bogota_students,158
bogota_students,145
bogota_students,168
bogota_students,152
bogota_students,140
bogota_students,165
bogota_students,170
bogota_students,148
bogota_students,155
bogota_students,162
bogota_students,158
bogota_students,150
bogota_students,145
bogota_students,160
bogota_students,152
bogota_students,168
bogota_students,155
bogota_students,162
bogota_students,158
bogota_students,150
bogota_students,165
bogota_students,170
